key	title	kind	era_id	trigger_ref	repeat_policy	skip_policy	location_policy	participant_policy	authored_ref	source_ref	voice_policy	status	note	sort
scene.start.prologue	Пролог: дорога в колхоз	cutscene_world	1	fact:new_game	once	mandatory	world	fixed_person	manual/design/core/start.md#1-лор-старта-убитый-колхоз	manual/design/core/start.md#1-лор-старта-убитый-колхоз	text_only	text_ready	Первая партия обязательна; последующие прохождения пропускаются.	10
scene.start.first_store_issue	Первая выдача из церкви	cutscene_world	1	quest:quest_e1_03; fact:first_store_issue	once	skippable	unit	procedural	manual/design/core/start.md#кат-сцена-первой-выдачи	manual/design/core/start.md#кат-сцена-первой-выдачи	text_only	text_ready		20
scene.start.first_house_collapse	Первый рухнувший дом	cutscene_world	1	fact:first_old_house_collapse	once	skippable	unit	procedural		manual/design/core/start.md#правила-для-обучающих-кат-сцен	text_only	idea	Полная авторская постановка отсутствует.	30
scene.start.first_occupied_house_collapse	Первое обрушение при жильцах	cutscene_world	1	fact:first_occupied_house_collapse	once	skippable	unit	group		manual/design/core/start.md#правила-для-обучающих-кат-сцен	text_only	idea	Полная авторская постановка отсутствует.	40
scene.start.first_store_theft	Первая ночная пропажа со склада	cutscene_world	1	fact:first_church_store_theft	once	skippable	unit	procedural		manual/design/core/start.md#правила-для-обучающих-кат-сцен	text_only	idea	Полная авторская постановка отсутствует.	50
scene.district.first_commission_arrival	Первый приезд комиссии	cutscene_world		fact:first_district_commission_arrival	once	mandatory	world	group		manual/design/core/start.md#правила-для-обучающих-кат-сцен	engine_allowed	idea	Полная авторская постановка отсутствует.	60
scene.life.first_wedding	Первая свадьба	cutscene_world		fact:first_wedding	once	stages	world	group		manual/design/chairman/dialogues.md#длинные-сцены--из-этапов	engine_allowed	idea	Четыре этапа заданы; полного сценария нет.	70
scene.emergency.first_fire	Первый пожар	cutscene_world		fact:first_fire	once	skippable	incident	group		manual/design/core/start.md#правила-для-обучающих-кат-сцен	engine_allowed	idea	Полная авторская постановка отсутствует.	80
scene.infrastructure.first_electric_light	Первый электрический свет	cutscene_world	1	quest:quest_e1_18.close; event:event_01	once	mandatory	unit	group		manual/design/infrastructure/electricity.md#9-событие-а-не-улучшение	engine_allowed	idea	Образ задан; дословной сцены нет.	90
scene.era.first_transition_vote	Первое переходное собрание	cutscene_heads	1	fact:era_1_transition_vote	once	mandatory	unit	group		manual/design/core/epochs.md#механика-самого-перехода	engine_allowed	idea	Авторский ход не написан.	100
scene.era.second_transition_vote	Второе переходное собрание	cutscene_heads	2	fact:era_2_transition_vote	once	mandatory	unit	group		manual/design/core/epochs.md#механика-самого-перехода	engine_allowed	idea	Авторский ход не написан.	110
scene.ending.failure	Финал после провала	cutscene_world		fact:game_failure	once	mandatory	world	group		manual/design/core/epochs.md#9-что-происходит-после-провала	text_only	idea	Тип зависит от причины; полного сценария нет.	120
scene.ending.epilogue_chronicle	Эпилог-хроника	cutscene_world		fact:game_ending	once	stages	world	group		manual/design/core/epochs.md#эпилог-хроника-часть-кат-сцены	text_only	idea	Состав задан; авторские формулировки не написаны.	130
scene.development.roof_over_head	Крыша над головой	cutscene_world	1	quest:quest_e1_02.open	once	skippable	unit	procedural	rpg/manual/texts/development-quests-era-i.md#крыша-над-головой	rpg/manual/texts/development-quests-era-i.md#крыша-над-головой	engine_allowed	text_ready		140
scene.development.own_office	Своя контора	cutscene_heads	1	quest:quest_e1_04.open	once	skippable	office	group	rpg/manual/texts/development-quests-era-i.md#своя-контора	rpg/manual/texts/development-quests-era-i.md#своя-контора	engine_allowed	text_ready		150
scene.development.accountant	Счетовод	cutscene_heads	1	quest:quest_e1_05; fact:accountant_appointed	first_time	skippable	office	role_holder	rpg/manual/texts/development-quests-era-i.md#счетовод	rpg/manual/texts/development-quests-era-i.md#счетовод	engine_allowed	text_ready		160
scene.development.juicy_feed	Сочный корм	cutscene_world	1	quest:quest_e1_06.open	once	skippable	incident	procedural	rpg/manual/texts/development-quests-era-i.md#сочный-корм	rpg/manual/texts/development-quests-era-i.md#сочный-корм	engine_allowed	text_ready		170
scene.development.winter_crop	Озимый клин	cutscene_world	1	quest:quest_e1_07.open	once	skippable	incident	group	rpg/manual/texts/development-quests-era-i.md#озимый-клин	rpg/manual/texts/development-quests-era-i.md#озимый-клин	engine_allowed	text_ready		180
scene.development.teach_children	Учить детей	cutscene_world	1	quest:quest_e1_10.open	once	skippable	world	procedural	rpg/manual/texts/development-quests-era-i.md#учить-детей	rpg/manual/texts/development-quests-era-i.md#учить-детей	engine_allowed	text_ready		190
scene.development.empty_school	Пустая школа	cutscene_world	1	quest:quest_e1_11.open	once	skippable	unit	procedural	rpg/manual/texts/development-quests-era-i.md#пустая-школа	rpg/manual/texts/development-quests-era-i.md#пустая-школа	engine_allowed	text_ready		200
scene.development.first_lesson	Первый урок	cutscene_world	1	quest:quest_e1_11; fact:first_lesson	once	skippable	unit	group	rpg/manual/texts/development-quests-era-i.md#первый-урок	rpg/manual/texts/development-quests-era-i.md#первый-урок	engine_allowed	text_ready		210
scene.development.one_basin	Одного таза мало	cutscene_heads	1	quest:quest_e1_14.open	once	skippable	office	procedural	rpg/manual/texts/development-quests-era-i.md#одного-таза-мало	rpg/manual/texts/development-quests-era-i.md#одного-таза-мало	engine_allowed	text_ready		220
scene.development.first_bath_firing	Первая топка	cutscene_world	1	quest:quest_e1_14.close; fact:first_bath_day	once	skippable	unit	group	rpg/manual/texts/development-quests-era-i.md#первая-топка	rpg/manual/texts/development-quests-era-i.md#первая-топка	engine_allowed	text_ready		230
scene.development.evening_place	Куда пойти вечером	cutscene_heads	1	quest:quest_e1_19.open	once	skippable	office	group	rpg/manual/texts/development-quests-era-i.md#куда-пойти-вечером	rpg/manual/texts/development-quests-era-i.md#куда-пойти-вечером	engine_allowed	text_ready		240
scene.development.club_two_truths	Оба правы	model_scene	2	quest:quest_e2_03.close	once	skippable	unit	group	rpg/manual/texts/development-quests-later-eras.md#оба-правы	rpg/manual/texts/development-quests-later-eras.md#оба-правы	engine_allowed	text_ready	Открытая mid-форма остаётся в скрипте.	250
scene.development.until_evening	До вечера	cutscene_heads	2	quest:quest_e2_04.open	once	skippable	office	procedural	rpg/manual/texts/development-quests-later-eras.md#до-вечера	rpg/manual/texts/development-quests-later-eras.md#до-вечера	engine_allowed	text_ready		260
scene.development.one_horse_for_all	Одна лошадь на всех	cutscene_world	2	fact:first_kindergarten_day	once	skippable	unit	group	rpg/manual/texts/development-quests-later-eras.md#одна-лошадь-на-всех	rpg/manual/texts/development-quests-later-eras.md#одна-лошадь-на-всех	engine_allowed	text_ready		270
scene.development.first_common_meal	Первый общий обед	cutscene_world	2	quest:quest_e2_05.close; fact:first_canteen_meal	once	skippable	unit	group	rpg/manual/texts/development-quests-later-eras.md#первый-общий-обед	rpg/manual/texts/development-quests-later-eras.md#первый-общий-обед	engine_allowed	text_ready		280
scene.development.local_help_not_enough	Здесь своего не хватит	cutscene_world	2	quest:quest_e2_24.open; fact:first_sick_animal_without_vet	once	skippable	incident	procedural	rpg/manual/texts/development-quests-later-eras.md#здесь-своего-не-хватит	rpg/manual/texts/development-quests-later-eras.md#здесь-своего-не-хватит	engine_allowed	text_ready		290
scene.development.quiet_district	Тихий участок	cutscene_world	2	quest:quest_e2_14.close; fact:first_fap_workday	once	skippable	unit	role_holder	rpg/manual/texts/development-quests-later-eras.md#тихий-участок	rpg/manual/texts/development-quests-later-eras.md#тихий-участок	engine_allowed	text_ready		300
scene.development.for_my_folder	Для моей папки	cutscene_world	2	quest:quest_e2_15.close; fact:first_registry_marriage	once	skippable	unit	group	rpg/manual/texts/development-quests-later-eras.md#для-моей-папки	rpg/manual/texts/development-quests-later-eras.md#для-моей-папки	engine_allowed	text_ready		310
scene.development.village_on_map	Деревня на карте	cutscene_world	2	quest:quest_e2_06.open	once	skippable	world	group	rpg/manual/texts/development-quests-later-eras.md#деревня-на-карте	rpg/manual/texts/development-quests-later-eras.md#деревня-на-карте	engine_allowed	text_ready		320
scene.development.own_station	Своя станция	cutscene_world	2	quest:quest_e2_07.close; fact:mts_opened	once	skippable	unit	role_holder	rpg/manual/texts/development-quests-later-eras.md#своя-станция	rpg/manual/texts/development-quests-later-eras.md#своя-станция	engine_allowed	text_ready		330
scene.development.first_tractor	Первый трактор	cutscene_world	2	quest:quest_e2_09.close; fact:first_local_tractor_order	once	stages	incident	group	rpg/manual/texts/development-quests-later-eras.md#первый-трактор	rpg/manual/texts/development-quests-later-eras.md#первый-трактор	engine_allowed	text_ready	Перегон не входит; постановка ждёт полевого наряда.	340
scene.development.own_referee	Свой судья	cutscene_world	2	quest:quest_e2_17.close; fact:first_home_match	once	stages	unit	group	rpg/manual/texts/development-quests-later-eras.md#свой-судья	rpg/manual/texts/development-quests-later-eras.md#свой-судья	engine_allowed	text_ready	Счёт и драка приходят из системы.	350
scene.development.all_present	Все на месте	cutscene_world	2	quest:quest_e2_18.close; fact:first_camp_session	once	skippable	unit	group	rpg/manual/texts/development-quests-later-eras.md#все-на-месте	rpg/manual/texts/development-quests-later-eras.md#все-на-месте	engine_allowed	text_ready		360
scene.development.list_ended_first	Список кончился первым	cutscene_world	2	quest:quest_e2_19.close; fact:first_fully_housed_visiting_group	once	skippable	unit	group	rpg/manual/texts/development-quests-later-eras.md#список-кончился-первым	rpg/manual/texts/development-quests-later-eras.md#список-кончился-первым	engine_allowed	text_ready		370
scene.development.already_not_same	Уже не одинаковые	cutscene_world	2	quest:quest_e2_21.close; fact:first_warm_school_day_after_uniform_issue	once	skippable	unit	group	rpg/manual/texts/development-quests-later-eras.md#уже-не-одинаковые	rpg/manual/texts/development-quests-later-eras.md#уже-не-одинаковые	engine_allowed	text_ready		380
scene.development.bread_for_road	Хлеб в дорогу	cutscene_world	3	quest:quest_e3_02.close; fact:first_technical_school_intake	once	skippable	unit	group	rpg/manual/texts/development-quests-later-eras.md#хлеб-в-дорогу	rpg/manual/texts/development-quests-later-eras.md#хлеб-в-дорогу	engine_allowed	text_ready		390
scene.development.when_i_wipe_window	Когда окно протираю	cutscene_world	3	quest:quest_e3_04.close; fact:first_rest_home_guests	once	skippable	unit	group	rpg/manual/texts/development-quests-later-eras.md#когда-окно-протираю	rpg/manual/texts/development-quests-later-eras.md#когда-окно-протираю	engine_allowed	text_ready		400
scene.development.hospital_two_histories	Две истории	model_scene	3	quest:quest_e3_05.close; fact:first_joint_round	once	skippable	unit	group	rpg/manual/texts/development-quests-later-eras.md#две-истории	rpg/manual/texts/development-quests-later-eras.md#две-истории	engine_allowed	text_ready	Закрытая mid-форма остаётся в скрипте.	410
scene.development.house_of_culture_argument	А спорить где?	model_scene	3	quest:quest_e3_06.close; fact:first_bright_day_after_upgrade	once	skippable	unit	group	rpg/manual/texts/development-quests-later-eras.md#а-спорить-где	rpg/manual/texts/development-quests-later-eras.md#а-спорить-где	engine_allowed	text_ready	Открытая mid-форма остаётся в скрипте.	420
scene.delegation.season_check	По науке: проверка после сезона	cutscene_heads	2	quest:quest_e2_20.close; fact:season_result_ready	once	skippable	office	role_holder	rpg/manual/quests/delegation.md#проверка-после-сезона	rpg/manual/quests/delegation.md#проверка-после-сезона	engine_allowed	text_ready	Результат подставляет симуляция.	430
scene.delegation.authority_restored	Полномочия возвращены после ошибки	cutscene_heads	2	fact:autonomy_restored_after_error	first_time	skippable	office	role_holder	rpg/manual/quests/delegation.md#если-полномочия-вернули-позже	rpg/manual/quests/delegation.md#если-полномочия-вернули-позже	engine_allowed	text_ready	Не новый узел и не награда.	440
scene.delegation.without_chairman	Без председателя	cutscene_heads	3	quest:quest_e3_03.close; fact:first_large_cycle_without_manual_approval	once	skippable	office	role_holder	rpg/manual/quests/delegation.md#появление-и-закрытие	rpg/manual/quests/delegation.md#появление-и-закрытие	engine_allowed	text_ready		450
scene.family.freedom_to_leave	Свобода уйти: пролог	model_scene	3	event:event_19; fact:eligible_family_member_considers_departure	once	skippable	world	procedural	rpg/manual/quests/family-thread.md#разговор-теперь-без-подписи	rpg/manual/quests/family-thread.md#разговор-теперь-без-подписи	engine_allowed	text_ready	Открытый high-пролог; решение — отдельный dialogue.	460
scene.night_hunt.distiller_intercept	Перехват самогонщика	cutscene_world	1	fact:distiller_caught_at_gate	first_time	skippable	incident	group	rpg/manual/texts/night-hunt-scenes.md#перехват-самогонщика-у-ворот	rpg/manual/texts/night-hunt-scenes.md#перехват-самогонщика-у-ворот	engine_allowed	text_ready	Постановка заканчивается перед dialogue.	470
scene.night_hunt.fishers_intercept	Перехват рыболовов	model_scene	1	fact:fishers_caught_with_nets	first_time	skippable	incident	group	rpg/manual/texts/night-hunt-scenes.md#перехват-рыболовов-на-берегу	rpg/manual/texts/night-hunt-scenes.md#перехват-рыболовов-на-берегу	engine_allowed	text_ready	Закрытая mid-форма; решение идёт отдельно.	480
scene.night_hunt.hunter_intercept	Перехват охотника	cutscene_world	1	fact:hunter_caught_in_forest	first_time	skippable	incident	procedural	rpg/manual/texts/night-hunt-scenes.md#перехват-охотника-в-лесу	rpg/manual/texts/night-hunt-scenes.md#перехват-охотника-в-лесу	engine_allowed	text_ready	Постановка заканчивается перед dialogue.	490
scene.night_hunt.detective_opening	После третьей поимки — другой взгляд	cutscene_world	1	quest:quest_perk_04.open; fact:three_distinct_intercepts	once	skippable	office	procedural	rpg/manual/texts/night-hunt-scenes.md#после-третьей-поимки--другой-взгляд	rpg/manual/texts/night-hunt-scenes.md#после-третьей-поимки--другой-взгляд	text_only	text_ready	Только внутренняя мысль председателя.	500
scene.shadow.two_owners	Встреча с теневым хозяином	model_scene	3	fact:second_shadow_owner_meeting	once	skippable	incident	procedural	rpg/manual/texts/shadow-line-scenes.md#встреча-с-теневым-хозяином	rpg/manual/texts/shadow-line-scenes.md#встреча-с-теневым-хозяином	text_only	text_ready	Закрытая high-форма; голос не должен раскрывать личность.	510
scene.way.telephone_first_call	Первый телефонный звонок	cutscene_heads	2	event:event_02; fact:first_office_phone_connected	once	skippable	office	role_holder	rpg/manual/texts/way-of-life-events.md#первый-звонок--аппарат-оказался-двусторонним	rpg/manual/texts/way-of-life-events.md#первый-звонок--аппарат-оказался-двусторонним	engine_allowed	text_ready		520
scene.way.telephone_first_personal	Первый личный телефонный разговор	cutscene_heads	2	event:event_02; fact:first_personal_call	once	skippable	unit	procedural	rpg/manual/texts/way-of-life-events.md#первый-личный-разговор--днём-при-секретаре	rpg/manual/texts/way-of-life-events.md#первый-личный-разговор--днём-при-секретаре	engine_allowed	text_ready		530
scene.way.second_day_off_kept	Первый второй выходной состоялся	cutscene_world	2	event:event_11; fact:first_second_day_off_kept	once	skippable	world	procedural	rpg/manual/texts/way-of-life-events.md#если-первый-второй-выходной-состоялся	rpg/manual/texts/way-of-life-events.md#если-первый-второй-выходной-состоялся	engine_allowed	text_ready		540
scene.way.second_day_off_cancelled	Первый второй выходной отменён	cutscene_heads	2	event:event_11; fact:first_second_day_off_cancelled	once	skippable	unit	procedural	rpg/manual/texts/way-of-life-events.md#если-первый-второй-выходной-отменён	rpg/manual/texts/way-of-life-events.md#если-первый-второй-выходной-отменён	engine_allowed	text_ready		550
scene.way.first_pension	Первые собственные деньги	cutscene_heads	3	event:event_18; fact:first_pension_payment	once	skippable	world	procedural	rpg/manual/texts/way-of-life-events.md#первые-собственные-деньги	rpg/manual/texts/way-of-life-events.md#первые-собственные-деньги	engine_allowed	text_ready		560
scene.way.passport_blank	Чистая оборотная сторона	cutscene_heads	3	event:event_19; fact:first_obsolete_exit_form	once	skippable	office	role_holder	rpg/manual/texts/way-of-life-events.md#чистая-оборотная-сторона	rpg/manual/texts/way-of-life-events.md#чистая-оборотная-сторона	engine_allowed	text_ready		570
scene.way.first_cash_payment	Первый денежный расчёт	cutscene_heads	3	event:event_20; fact:first_cash_payment	once	skippable	office	procedural	rpg/manual/texts/way-of-life-events.md#первый-расчёт	rpg/manual/texts/way-of-life-events.md#первый-расчёт	engine_allowed	text_ready		580
scene.alcohol.first_break	Первый заметный перелом	cutscene_world	1	quest:quest_e1_21.open; fact:first_visible_alcohol_decline	once	skippable	incident	procedural	rpg/manual/texts/alcoholism-quest-scenes.md#первый-заметный-перелом	rpg/manual/texts/alcoholism-quest-scenes.md#первый-заметный-перелом	engine_allowed	text_ready		590
